Topic,Count,Name,Representation,Representative_Docs
-1,946,-1_reviews_these_ipad_quality,"['reviews', 'these', 'ipad', 'quality', 'cable', 'them', 'photos', 'phone', 'product', 'bought']","[""Pretty much a plug and play device; 1 minute to install. There is supposed to be a configuration program that you can access, but I wasn't able to do so with the IP address given in the instructions. It wasn't necessary anyway, as the device functions just fine on a simple network without any additional configuration. There are two things I didn't like about it compared to my old switch, that I was replacing. First of all, it is a bit larger than my old switch at 8 1/2 inches long compared to my old one that is only 6 1/2 inches. Also, the power supply is considerably larger at 6 inches long and 3 inches wide and 1 inch thick. My old switch uses only a large plug that is 1 3/4 x 1 3/4 x 1 1/4. The second thing I didn't like is that there are no indicator lights to show the functioning ports. My old switch has lights for each port that is working, which is nice. You may prefer not to have any lights and if so, this Linksys switch may be to your liking. Note: there is a disc included with documentation, but I didn't find it to be of any particular use. On the plus side, this does appear to be a quality, heavy duty switch, so might be well suited for a commercial application (such as in an unattended area, like a computer room in a large business). It appears to weigh nearly twice what my old switch did, so it is solid. I have used Linksys products before and found them to be good quality with no issues. You can buy a cheaper switch that is smaller and does essentially the same thing at a considerably lower price, but you most likely won't get the same quality as you would with this switch. Also this switch does apparently have a POE (power over internet) feature and if you need that, you also might want to get this. I don't see a need for POE in my configuration. Possibly overkill for typical home office, but if you want a good quality switch, it might be worth the extra cost (or not)."", 'If I could rate this 10 stars, I probably would... of course, time will be the true test! I had some really ugly black cable cords just sitting along the floor. Ugly to say the least. So, I thought I would try these. I just installed this along my base board (looks like quarter round) and it PERFECTLY holds and hides the cords. I have two cable lines and a very small, flat land line cord in it... plenty of room for another cable if necessary. There are no instructions.. but it\'s pretty easy. There is a clear film on the outside/front - the back is a the self stick. I was placing it on a painted, non textured wall - so it\'s very flat and the perfect material for this use. A couple of things I learned as I was placing it... it worked best for me to cord up the holder before sticking to the wall - IMPORTANT - the sticky back is SOLID - NO repositioning at all. You want to make sure you have shoved up against the last one you placed as tightly as possible - you will still see the seam between each length - but less so if you carefully, firmly place each piece. Before removing the sticky back I ""placed"" it in position to see if I liked it and it would work. Good thing, because once you remove the sticky back, it is NOT coming off without the sheet rock in torn pieces... just fyi. I chose to position the opening part of the D tube facing up to make it easier to put another cord in or take one out... personal choice. The ad says it is paintable and that is what I will try next. Having said that, I never hesitate to update my reviews should new info seem useful - and I am eager to see if this will stand the test of time and use.. meaning.. cords pulled, etc. I see no reason why you couldn\'t use this going up a wall (thinking of TV that has been hung on wall, etc - personal taste - but remember, the sticky tape is solid and won\'t be removed without tearing/damaging paint. As for textured surfaces - like wall texture, I am thinking that as positive as this sticky tape is, as long as it\'s not too textured, it should work - but to be honest, I have not tried it on a textured surface. As with most things that use a form of sticky tape, the smoother the surface, the better it will stick.) I hope this info was helpful to you!', ""I've had several sets of Bose Companion speakers over the years, but this was my first experience with a Bose Bluetooth product. Setup was quick and easy, and as you can use the speaker as the battery is charging for the first time (plugged in), I had my speaker powered up and connected within five minutes of unpacking. You can pair the SoundLink III with up to six devices and it will automatically connect to the last known device. With a 30-foot range, you can be several rooms away and still get crystal-clear sound.<br /><br />The sound quality is fantastic...good bass for a speaker this size. You can also REALLY crank up the volume on this one; sound is still full and balanced at max volume. I love that the unit is portable and holds a charge for quite a while (up to 14 hours; the battery lasts up to two years). Because the battery is not user-replaceable, I tend to keep it plugged in when I am using it for long periods.<br /><br />The one downside is the fact that there is no remote; it would be nice to at least be able to adjust the volume remotely rather than walking over to my phone and using the volume buttons, or walking over to the speaker and using the buttons on top, which are covered with a rubberized layer, but this is a small issue overall.""]"
0,184,0_headset_headphones_bluetooth_wireless,"['headset', 'headphones', 'bluetooth', 'wireless', 'earbuds', 'decent', 'phone', 'airpods', 'sound', 'ear']","[""I have not had any problems with these headphones. They actually fit in my ears. Some are too big, but these fit me nicely and the sound is nice. I've only been using them for a couple of days, but as of now, they are great!"", ""These are a great set of buds fore the price. I've tried dozens of ear buds over the years. How do these rate? I think for the price (Currently $43) they are an easy 5 stars. The sound is the best I've heard for the size of them and they are some of the smallest wireless buds I've tried. The noise cancelation (Which I'm not a big fan of because I use to work out and need to hear a bit of what going on around me) works well. They are a bit awkward to get out of the case bit it's not a big issue. Back tot he audio quality, the bass is someway lacking but for certain songs it actually works better than my AirPods especially if you seal them in your ears well. I can run in these fine without them falling out. Overall very pleased with these and the look pretty cool."", ""My husband has purchased Sennheiser headphones in the past and has been pleased with them. These live up to the Sennheiser name. They are lightweight, foldable over the ear headphones. They are great for travel or other situations where storage space is limited. They are adjustable to accommodate head size, but in a different way than most over the ear headphones I've tried. Instead of the actual headband part sliding apart to fit, the ear cups have about a two inch sliding range so you can move them up or down for the best fit. There will be less wear on the headband portion of the headphones for longer lasting results. The padding on the ear cups is about half an inch. The cups are comfortable to wear, even for extended time. Cups are labeled L/R, though it's black on black and a little difficult to see. The cable is a good length and seems to resist tangles so far. The sound quality has been excellent. I immediately noticed a difference between these and the inexpensive no-name headphones that I was using before these. I do not claim to be an audiophile, but for my entertainment purposes, I found the sound to be clear and crisp. There is no volume control other than on your device, though there is a small button so you can answer phone calls. A protective storage case would be nice.""]"
1,108,1_reviews_devices_useful_durable,"['reviews', 'devices', 'useful', 'durable', 'cords', 'very', 'great', 'ipad', 'iphone', 'these']","[""You can never have enough USB cables, especially this type with the mini end on it, as most devices these days use this size. What I especially like about this one is the length. It is nearly 10 feet long (3 meters), so what you are plugging in can be some distance from your computer. I also liked the fact that the cable is wrapped in braided nylon, so it seems very durable so it doesn't seem like it will kink up or easily wear out. It claims fast changing capability, but I am not sure that it charged my smartphone any faster than any other cable. The only downside that I can see at all is that this cable is rather pricey. The price is somewhat justified by the length and quality of the cable. If you want the best, buy this one and you aren't likely to need to replace it in a very long time, if ever."", 'This AMAZONBASICS USB-C 2.0 TO USB-C CABLE (3-Foot, White) has a USB-C connector (oval) on each end. You can plug the cable into any USB-C port, or you can use a USB-C adapter if you want to connect the cable to an electrical outlet.<br /><br />The cable works fine as a charging cable, but it lacks the fast data transfer speeds of USB-C 3.0, USB-C 3.1/gen1, or USB 3.1/gen2 cables. Try Googling for ""USB 3.0"" to learn more about the fast data transfer cables.<br /><br />In my experience, AmazonBasics products like this one perform well, are reliable, and are durable. The 3-ft. length is convenient for desktop use or for carrying in a purse or backpack. However, a longer cable is better if you will be plugging the cable into wall outlets.', 'I purchased these new cords along with an 8 port USB charging station. They are lightening fast charging. And they come with leather like material snap cord keepers. This keeps your cords nice and tidy with not in use or when you have extra length. They are about 3ft long as mentioned. I find the cloth covered cords seem to last longer being coiled and uncoiled - but that is my personal opinion. They are white with black dashes on the cord, as pictured. The tips are gold colored. So far, so good. However, I never hesitate to update my reviews should new info seem useful. And I hope this info was useful to you in some way.']"
2,105,2_quality_great_cloud_very,"['quality', 'great', 'cloud', 'very', 'security', 'camera', 'what', 'digital', 'used', 'br']","[""I got two outdoor security cameras of different brands at the same time. The other brand I could not get to work and setting it up was complicated and could apparently only be done through a cell phone. This camera, on the other hand, could be set up with a computer and the setup was easy and I had it working within minutes, for a live feed. The picture quality is good and I tested in the dark and still got a great picture. I didn't give it 5 stars because I couldn't get it to record (supposedly it has some built-in memory, although you can also add a memory card for more memory). For ease of setup and for the live feed, I give it 5 stars. I'll try to work with it some more and if I get all the features working, will update this review. Important note: I got this without giving thought to the fact that I didn't have a good place to mount it outside. Also, it needs an outlet to be plugged into, as do most security cameras. I have outside outlets, but nothing up near the roof where I would want to mount this. The power cord is not long enough to go for a very great distance, so might require an extension cord to run it. An exposed extension to a security camera is not very secure, as all anyone would need to do is unplug it to disable the camera. I thought perhaps I could just keep it inside and aim it out of a window. Unfortunately my windows sills are two narrow for the camera to sit and shoot out of a window. I didn't find a good way yet to mount in front of a windows. Of course my lack of planning is no fault of the camera. The camera seems rugged and well built. It appears to be able to use 5Ghz Wi-Fi; the other camera I tested did not. There is one slight design flaw; the aerial is very close to the mounting bracket, so it is difficult to position it properly."", ""So these are not bad cameras or great ones. They do seem to either miss important events or overcapture little ones like bugs flying past. My biggest issue is that I now own two outdoor cameras that would work if they could be charged. I use them with solar panels but after a few months I get a message that they need to be charged. I thought maybe this was because we had some not sunny days but now I am realizing that the port that the usb cord plugs into gets broken. I don't know if it is from wind or just cheap products but when I took each camera in to charge with the supplied cord from the box, the port sunk into the camera. There is no way to get them out. I tried to unscrew the camera to get it from the inside but the plastic seems to be welded on as even unscrewed I cannot open the camera. I contacted the company when it happened the first time and they said there was nothing they could do about it as the warranty expired. Then I asked them how to open it up so I could try to push it out and they said just undo the screws. When I told them that didn't work, they did not respond.<br /><br />For the second camera - it is a replacement they sent me from yet a different issue on the original. I have only had it up for 6 months and got the same message about needing it to charge. I brought it in from the solar panel and as I plugged the cord into it, the port pushed all the way in again. No way to access it. REally bad design flaw. I am waiting to hear back from the company but expect them to tell me it is out of warranty - even though it was a replacement given to me only 6 months ago, prior to the original camera's warranty expiration.<br /><br />The support seem nice. They only contact you through email so often takes 1-2 weeks to solve issues. At one point they did call me because my work schedule just did not allow for an accurate solution via email. The problem is the product has this major flaw when it comes to the quality of its ports for charging. Wish I could get a recommendation for a camera that has better built materials.<br /><br />So had to drop a star for this."", ""I just started using my camera yesterday and my first impression is that this thing seems very fragile. Hope I don't drop it, as it might not survive the fall. It is extremely small, light and compact. Think of two packs of cigarettes or two packs of playing cards. It is that small. Great for travel due to the light weight and compactness. Got it for about $90 on sale; would hate to pay more than that for it. Very easy to operate, but if you have big hands, this will be too small for you. Be warned that it won't take more than a couple minutes of video without a memory card, so you'll have to put a little more money into it if you really want to do video or really much of anything. The first video I took came out pretty decent, but it was in good light. I tried some still shots inside at night and they came out very dark in spite of the flash. The flash doesn't seem adequate, so this is probably a camera best used outdoors or in the daytime. Great camera for a kid. This is a good camera for small hands and a great size for kids. If they break it or lose it, you aren't out a bundle. As another reviewer pointed out, it does only take video in the ASF format; not MPEG, as the advertising suggests. I think MPEG might be just music files. I didn't need to install the software to capture the pictures or movies on my computer (Windows XP). Another great thing is that this is a complete package. It has the camera, a carrying strap, a carrying case, USB cable, TV cables, headphones, battery, battery charger and software. It does not come with a lens cap and the cap is not available either. You can buy an optional tripod for it and with the small size, I think that could be useful in some situations to help hold and stabilize the camera. I am not sure how you store music on it; I probably won't use that feature, but it seems like it would be a nice compact music player; again you'll need a memory card to save much of anything on it. One problem I had so far. The memory card (which you have to buy separately--a standard SD card) slips in the bottom under a little rubber membrane. The first time I held the camera I accidentally popped out the card and lost the shots I was trying to take. This might be a problem and I am thinking I may have to put a piece of heavy tape over the bottom to hold the membrane and memory chip in place and prevent ejecting the memory again. Another downside that I see is the battery. You can't just pick up some spare batteries at the corner store and pop them in. You have to use the special rechargeable battery. If you don't have a spare one charged up, your camera will go dead and you'll have to wait until you can plug in the charger and recharge the battery. That's another $20 for a spare battery. My digital camera uses standard AA batteries, so I can use either rechargeables or regular batteries. If this camera used regular batteries, it would make it larger and heavier, so the small rechargeable does help on the weight and size. Don't buy this if you are a serious photographer. Buy it for occasional use, for easy portability and as a first camera to learn on. Controls are easy and straightforward. Nice camera for the money, but not for serious photographers. It does a lot for a tiny little thing; sure doesn't make me want to go back to the days of huge video cameras that you had to hold on your shoulder, due to the weight. Minaturization can go too far and this is about as small as I would ever want to go; might be easier to use if it was just a tiny bit bigger.""]"
3,85,3_monitor_hdmi_cables_monitors,"['monitor', 'hdmi', 'cables', 'monitors', 'usb', 'screen', 'keyboard', 'dell', 'mouse', 'computer']","[""This is a very expensive KVM switch that is really overkill for an individual, due to the price and the feature of being able to use authentication devices including common access cards (or CAC cards) for access. CAC cards seem to be a government only system used to securely access computers. If you are not a government entity, the CAC capability in the switch is a waste, although supposedly there is support for other types of authentication such as fingerprint recognition. Unfortunately no documentation is provided on how to connect and use authentication devices; there is a USB port for an authentication device for each computer. No doubt because of the capability of being able to use an authentication device, the switch is more expensive, larger and heavier than a typical KVM switch. Note that CAC or other authentication devices is optional with the switch. The switch appears to be very solidly built and should last a long time; not flimsy in any way like some cheaper switches can be. It has big well lighted push buttons for the up to 4 computers that you can attach. What I didn't like is that there apparently is no software switching between computers; you have to use the manual push buttons. (On the switch I was using I just press scroll lock twice and the computer number of 1,2,3 or 4.) What I truly do like about this switch is the fact that keyboard and mouse are controlled from a single USB cable that plugs into the switch and into your computer. I could not fathom this at first, as the KVM switches that I am used to have a 3-way cable that plugs into the mouse port, keyboard port and monitor and then into the switch with a 15-pin connector. I didn't realize that a single USB cable could handle both keyboard and mouse, but this switch is designed to do that. You just plug one end of a regular USB cable into the switch and the other into a USB port on the computer (has to be a built-in one, by the way; not on a USB hub or extender). You don't even need the keyboard and mouse ports on your computer. One thing I wasn't thrilled about is that the only monitor input to the switch is HDMI. The cables you may need to connect each computer's video output and your master console monitor will vary depending on what kinds of outputs you have available. For a KVM this expensive, it would seem that they could have included the older standard video connection (the 15-pin) that was the usual way to connect for many years until newer connectors such as HDMI and DVI came along. In any case, the switch comes with no cables, so you have to buy your own. I ended up needing 3 different kinds due to age of the various computers and the monitor and the types of video output(s) they had. I called support over my confusion on the cables and they call you back the next day; no immediate support I guess, unless you are on a paid plan. Didn't feel I got a good answer from support and was still confused about the cables until I actually connected it and started using it. To be fair, this may not have really been the fault of support, but my fault for not understanding how to ask my questions correctly. The biggest problem with this switch is that the documentation is woefully lacking. There should be some explanation about how this differs from a regular KVM switch and what kinds of cables you might need. This is a fine product, but is hurt by so little documentation and lack of explanations of how to connect it. Also, note this is a powered switch, so you do need a outlet to run it. If you want a top of the line KVM switch, this is it, but it's far from perfect. Not for novices."", ""Never thought I would want an all-in-one computer because you can't expand it at all, but with USB you don't really need to, as you can add external USB drives or devices (printers, scanners, etc.) easily or even use USB flash drives. Of course you can't add memory, but this comes with 8 gig, which is really all you need these days, unless you are a gamer. This has a nice large display screen with a clear picture. Will be great for watching video. Has a built in microphone and video camera. Tried the microphone with Windows 10 assistant Cortana and it works great (even though it warned me that it might not). Comes with Windows 10 pre-installed. All you have to do is customize a few local settings (time zone, language, etc.) and you are ready to go. Because everything is built in to the screen, setup time is very fast. You plug it in and turn it on. You do have to put batteries in the wireless mouse and keyboard, but they are included, as was the USB stick needed for the wireless devices. Was up and running in no time. The wireless mouse and keyboard is nice, but the keyboard is a flat keyboard and I much prefer an ergo keyboard, so I probably won't use the keyboard. My biggest problem in the past with wireless devices is that they go through batteries fast. This keyboard and mouse have on/off switches, so you aren't using up the battery when you aren't using the computer. With everything built into one unit, you might think it would be pretty heavy. It is heavy, but most people could move it without difficulty. There is a lot to like about this system and not much to dislike. I was disappointed that it didn't have more USB ports. There were only 2 on the back and 2 on the side. One of the 4 is used for a tiny USB stick that is used for wireless communication with the keyboard and mouse. You'll quickly run out of USB ports, so you may need a USB hub, if you have more than a couple of devices to hook up. The 500 gig hard drive is a little small by today's standards, but should be big enough for most people. For lots of data storage an external source is really more ideal than saving on the C: drive. You might be able to get a little more computer for less money, but it seems to me that the pricing is not that bad, considering what you get. Also includes McAfee internet security and some cloud storage (although small and you have to do things to increase it or pay for more space). Overall not a bad value and ideal for limited space. No cords and wires to deal with. You have only the power cord to deal with. I was also impressed that it included an optical drive. Many newer systems (especially laptops) don't include a DVD drives anymore. Performance seemed a little slow, but nothing significant. I think most people will be happy with this system and it will meet the needs of all but the most demanding users."", ""It amazes me just how much power this little computer has. It runs silently and generates almost no heat. So far I have only used it with Wi-Fi and the performance has been quite good. I want to try it with an ethernet cable, directly connected to see if performance is even better. The biggest struggle that I had in dealing with this computer is that it has Windows 11 installed. Not being familiar with 11, since all my other PCs have Win 10, I had a hard time finding some commonly used functions. Of course that is not the fault of the computer. There are some things to be aware of if you buy this. First of all, you need a monitor, keyboard and mouse to use with the computer, since it doesn't come with these items. Secondly, the computer seems to use all the latest connection types, such as HDMI for video. All but one of my monitors don't have HDMI, but only DVI and/or VGA connectors. If you don't have an HDMI connection on your monitor, you will need an adapter or adapter cable that converts the type of connector that you have to HDMI. There is an included HDMI cable, with both ends HDMI. There also is a mini display port connector, which I am not familiar with. The mouse and keyboard could be another issue. All my mice use the round PS/2 type connectors and some of my available keyboards are the same way with the old PS/2 connector. To connect to the Geekom, you either need a USB keyboard and mouse (which will use up 2 of the 3 available USB ports) or your need a wireless keyboard and mouse. Wireless may use one or two USB ports, depending on whether the receiver for the mouse and keyboard is integrated to handle both or if you have a keyboard and a mouse from different manufacturers, which requires two receivers, instead of one. A good feature this computer has is a mounting bracket that allows you to mount it to the back of certain monitors, which is a space saver. You really don't need this, as the computer is so small anyway that the footprint is minimal. The only thing I would have liked on this is a DVI connector. Also, the manual is very minimal. Currently the computer goes to sleep after a few minutes and I have to press the power button to get it to wake up. This could be normal behavior and I have an inquiry in to Geekom to find out. I love this little computer and I will probably never buy a full sized computer again. Storage is limited, but I keep all my data on external network drives and backed up to the cloud, so a lot of storage on the computer is not an issue these days. If you can deal with the newer connection types with this computer, I think you will really love it. I am really happy with it. It is hard to find anything wrong with this computer. I think it seems to be quite sturdy too, as the UPS delivery man just dropped the package with a big thump by my front door. I was afraid it might damage the computer, but it worked fine, so I guess it can handle some bumps and thumps, as it was not packed with a lot of cushioning material.""]"
4,76,4_cheap_had_amazon_advertised,"['cheap', 'had', 'amazon', 'advertised', 'complaints', 'product', 'liked', 'great', 'what', 'your']","['Great product. Worked well for what we needed it for. Would buy it again.', 'Works GREAT!!!!!!.....Great product at a good price...', 'Stopped working in less than o month. Amazon was not helpful in getting replacement wanted me to send it back for repair even though it was listed for return for another month. Bad bad customer service']"
5,74,5_accessories_useful_sturdy_comfortable,"['accessories', 'useful', 'sturdy', 'comfortable', 'laptop', 'storage', 'very', 'stuff', 'pockets', 'leather']","[""I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane."", ""My husband was looking for an updated laptop bag. He's in his early 50's and was using an old briefcase style computer bag. He wasn't sure he wanted a backpack style laptop bag, but when he saw this, he decided it was professional looking enough to use. Plus, backpack style bags are easier on his back because if wear it on both arms/shoulders, you're distributing the weight evenly. This backpack looks classic and streamlined. There's plenty of storage for the items you need. But at the same time, it's not full of unnecessary storage either. It's definitely not your kid's school backpack, that's for sure! My husband's laptop is a smaller one so there's more than enough room for it in here. While the space is padded, it's not padded as much as some other backpacks that I have seen. However, I do think it's got adequate padding. Overall, my husband is very happy with it."", 'This LEATHER LAPTOP MESSENGER BAG FOR MEN (by Leather Centric) is made of real leather--animal hide, NOT the man-made “pleather” stuff that’s often marketed on Amazon as “real leather” or “genuine leather”. That’s a big plus, but the bag itself has a lot of minuses.<br /><br />First, the bag’s styling is so old-fashioned, it makes the bag look cheap. You have to really love the 1950s “retro” look, to like the overall appearance. The bag definitely looks handmade, but it also looks crudely rustic.<br /><br />Second, although the bag has lots of zippered compartments (inside and outside), it is only 3” deep. It has no expansion gussets, so the total capacity is one laptop or one very thick sheaf of documents. Internal zipper compartments are relatively useless if a bag can’t expand to hold the things added to the compartments.<br /><br />Third, the bag is difficult to open. It opens with two metal clasps--these are hidden beneath the purely decorative buckled front straps. You have to pull up on both clasps at once to lift the flap, and you can’t do this easily without laying the bag flat on one side, or holding it on your lap. The leather flap itself is very stiff (at least when the bag is new), and this adds to the opening difficulty.<br /><br />Fourth, the bag has no locking mechanism. Not that it is easy to open (see previous paragraph).<br /><br />Fifth, the brass fittings must tarnish very easily, because the bag arrives with every single exposed brass piece wrapped tightly in thin plastic wrap. It takes something very sharp to cut the plastic, and you must be careful not to scratch the fittings. (I succeeded in removing the wrappings without damaging the bag, but I punctured my left wrist with an Olfa knife in the process.)<br /><br />The bag is reasonably priced (about $90 on Amazon). It comes with a snap-on shoulder carrying strap, and has a sturdy, permanently attached satchel handle. The handle is very comfortable. The bag leather is already distressed, so you needn’t worry about scratches. This is a truly rugged laptop bag.']"
6,72,6_usb_great_seagate_nice,"['usb', 'great', 'seagate', 'nice', 'ssd', 'installed', 'issues', 'plugged', 'desktop', 'just']","[""This is an impressive little drive and operates quite fast on USB 3. No install or drivers needed as it is ready to use; just plug in the provided USB cable and it is ready to go. It might be a little pricey, but not much more expensive than typical USB sticks of the same capacity (256 MB). It doesn't seem to provide you much more value than a regular USB stick, at least not in terms of storage space. The value is in the speed. It is quite heavy compared to a USB stick and about 2 to 3 times larger, as it is encased in metal, so probably far more durable than some storage devices. The size is still small, at 4 inches long, 1 3/4 inches wide and 1/2 inch thick. It also comes in an attractive metal storage case that would be great for transporting it. This would be an ideal external drive for your data. You can then detach it and move it to another computer easily, just by unplugging the USB cable. If you are traveling, it should travel quite safely in the metal storage box it comes in. The capacity is a little low by today's standards, but larger solid state drives do get expensive. This would be ideal in a 1 TB or larger size and I think we will see bigger solid states drives in the future at affordable prices. I would not hesitate to recommend this if 256MB space is large enough for your needs. This would also be great as an off-site backup."", 'Several reviewers mentioned the difficulty in setting this up. It really wasn\'t that bad. The steps were pretty easy, at least on my system. The biggest issue I had was notifying my firewall that the software that was needed to map a drive for the unit was okay to run. There is no mention of firewall interference in the small quick install manual, but the Seagate on-line help is excellent and I was able to find the answer quickly. It was a bit confusing on how to identify the unit to the firewall, but I finally did get it set up. There were 3 pre-built folders on the unit: Download, Public and Wiki. I haven\'t yet figured out what Download and Wiki are for (or been able to access them), but the one called ""Public"" seems to contain most of the storage space and I was copying files to the unit in no time at all. The unit doesn\'t seem very fast, but that could in part be the speed of my network. You can use it with USB as an extension drive to one PC, rather than on a network, if you wish.<br /><br />The fact that the install disk was a DVD threw me for a bit. I had expected a CD, but some vendors now use DVDs instead of CDs for install programs.<br /><br />I was a little annoyed that I had to go through a complete registration process before the software install would proceed. When I went to a second PC and the registration process started again, I was more annoyed, but did discover that you can cancel out of the registration. It wasn\'t that obvious the first time through, so I guess they really want you to register.<br /><br />You do need to know that by default the drive is configured for Raid-1 (mirroring), which means that you only have 2 terabytes of space; not 4. The second drive is used to mirror the first. You can switch it to Raid-0 and get the whole 4 terabytes, but then there is no redundancy, so if either drive fails you are out of luck and you lose all your data. With Raid-1, theoretically you can replace the failing drive (if only one fails at a time) and the system will rebuild the data. I haven\'t yet discovered how to change the drive setting from Raid-1 to Raid-0.<br /><br />This is a very compact, quiet unit. It\'s totally black except for blue lights on the front that show power, status and drive activity.<br /><br />I did not try the included backup program, as I prefer to use my own backup procedures.<br /><br />Only time will tell if the unit stands up well or not. Seagate used to make the very best drives, but other companies surpassed them, at least for a time.<br /><br />This is a nice unit for the price and I\'m happy to have it.', 'This SEAGATE EXPANSION PORTABLE 4TB EXTERNAL HARD DRIVE (USB 3.0 for PC Laptop (STEA4000409)) is about the size of a slender paperback book, and adds a whopping 4 terabytes of storage space to a Windows desktop or laptop computer. It’s a simple plug-and-play drive that works when the included cable is plugged into any USB 3.0 or 2.0 port. (Naturally the drive is much faster when plugged into a USB 3.0 port.)<br /><br />The beauty of this capacious hard drive is its portability. It will hold a lot of important files for use with any Windows computer. It’s also good for regular backups, or for backing up specific files when you don’t want to perform a full backup operation on your computer.<br /><br />Seagate has been making hard drives forever, and is a well-respected brand. Just remember that even the best hard drives may fail unexpectedly, so you should never rely exclusively on a single drive for your really important files.']"
7,57,7_cord_protectors_strips_protector,"['cord', 'protectors', 'strips', 'protector', 'plugs', 'plug', 'usb', 'useful', 'reviews', 'surge']","[""The cord of this power strip is really nice. It's a braided one and very sturdy. It's a good length, too. The last few power strips that I have ordered have been on the short side. The plug is pretty nifty. It is at an angle so you can plug in something else in the other outlet. Brilliant, in my opinion! It's so frustrating when something takes up both outlets due to design. The power strip works well ."", ""This power strip is perfect for your desk. It has a long cord so you can easily put it within reach of a wall outlet. It has 8 outlets and 4 USB ports. I think all power strips should have USB ports these days and this one has plenty. I found that I need to space the plugs out a bit so the weight is evenly distributed and it doesn't tip over. This makes plugging in my electronics a lot easier!"", ""This has a lot of nice features. I like the size. It is not as large as some power strips. The flat power plug is great, as it can easily fit behind a piece of furniture. Two of the outlets have extra space for large plugs. Seems like a lot of the things I need to plug in these days have the larger plugs, so for me that's almost a necessity on a power strip. Wish they had made 3 or 4 with wider space, but it would have made the power strip larger. The 3 USB charging ports are a good feature, something you are seeing on more and more power strips these days and it is very convenient for me. Would have been better with one or two more, as I maxed out the 3 already. The cord is a little on the short side, but worked okay for me. An overall nice power strip and I like the white color too. I replaced a larger, old, cumbersome power station with this and gained back some desk space. Very satisfied with this.""]"
8,53,8_very_great_it_as,"['very', 'great', 'it', 'as', 'feel', 'beautiful', 'liked', 'friend', 'happy', 'by']","['Got it for the Husband and he loves it.', 'Bought this for my husband and he loves it!', 'It has to be said: although I\'m a twentysomething, I still *love * to watch Nickelodeon cartoons, my absolute favourite being ""The Wild Thornberrys."" I\'ve seen every episode (many more than once), and I was a little skeptical at the thought of a full-length animated movie.<br />Happily, the movie far surpassed my wildest expectations. The animation looks great, including the use of several CGI elements not present in the series (at some moments it reminded me of ""The Lion King""). There is enough background information included (including the opening credits of the series) that newcomers won\'t feel left behind. The whole Thornberry gang is here, including the addition of Nigel\'s parents, and several new characters as well. The voice work is fantastic, including such well-known names as Tim Curry as Nigel, Red Hot Chili Peppers\' Flea as Donnie, Rupert Everett as the baddie, and Marisa Tomei. The music is an eclectic mix of traditional and modern, featuring such talents as Sting, Dave Matthews, P. Diddy and Brandy, Youssou D\'Nour, Sting, Baha Men, Nick Carter, Peter Gabriel and Hugh Masekela.<br />The story finds Eliza Thornberry, a twelve-year old with the magical ability to talk to animals, on a hunt for migrating elephants with her family, who are award-winning naturalists. Eliza\'s older sister Debbie is a moody, pop culture-obsessed Valley Girl who hates all the wilderness trekking. Donnie is the Bornean wild boy that the Thornberrys adopted, who is always causing trouble by making messes and stuffing things up his nose or down his pants. Darwin is Eliza\'s best friend, a chimpanzee with very human tastes, including his obsession with Cheese Munchies. Eliza starts out playing with the cubs of a cheetah friend, but when one of them is stolen by a poacher Eliza must rescue him. However, her parents send her to a London boarding school, where Eliza is miserable and doesn\'t fit in. The rest of the movie you\'ll have to see to believe!<br />There are some scary chase scenes, wounded animals and tense moments that might upset younger viewers, but overall ""The Thornberrys Movie"" does an excellent job of bringing the show to the big screen while remaining faithful to the humour, excellent ethnic music, and magical elements of the original series. One of the things that I love the most about the ""Wild Thornberrys"" is that the episodes take viewers all around the world, and the show\'s producers try to avoid ethnic stereotypes with the various characters, as well as adding authentic music and traditions. This is one cartoon that is witty, educational and downright fun for the whole family. There\'s something for everyone with ""The Wild Thornberrys Movie.""']"
