topic_id,topic_name,count,keywords
-1,-1_reviews_these_ipad_quality,946,
0,0_headset_headphones_bluetooth_wireless,184,"headset, headphones, bluetooth, wireless, earbuds, decent, phone, airpods, sound, ear"
1,1_reviews_devices_useful_durable,108,"reviews, devices, useful, durable, cords, very, great, ipad, iphone, these"
2,2_quality_great_cloud_very,105,"quality, great, cloud, very, security, camera, what, digital, used, br"
3,3_monitor_hdmi_cables_monitors,85,"monitor, hdmi, cables, monitors, usb, screen, keyboard, dell, mouse, computer"
4,4_cheap_had_amazon_advertised,76,"cheap, had, amazon, advertised, complaints, product, liked, great, what, your"
5,5_accessories_useful_sturdy_comfortable,74,"accessories, useful, sturdy, comfortable, laptop, storage, very, stuff, pockets, leather"
6,6_usb_great_seagate_nice,72,"usb, great, seagate, nice, ssd, installed, issues, plugged, desktop, just"
7,7_cord_protectors_strips_protector,57,"cord, protectors, strips, protector, plugs, plug, usb, useful, reviews, surge"
8,8_very_great_it_as,53,"very, great, it, as, feel, beautiful, liked, friend, happy, by"
9,9_purchase_purchased_inexpensive_glad,46,"purchase, purchased, inexpensive, glad, advertised, arrived, price, great, sturdy, bad"
10,10_quality_tape_very_great,45,"quality, tape, very, great, fun, adhesive, notebooks, adhesion, media, adhere"
11,11_very_great_support_about,44,"very, great, support, about, device, devices, good, work, dlink, you"
12,12_tablet_notebook_monitors_ipad,40,"tablet, notebook, monitors, ipad, adjustable, very, phone, works, pretty, adjust"
13,13_gift_setup_music_device,39,"gift, setup, music, device, speaker, trackr, work, its, plug, clock"
14,14_transmitter_logitech_very_nice,38,"transmitter, logitech, very, nice, keypad, wireless, need, keyboards, great, keyboard"
15,15_samsung_keyboard_sony_dvd,38,"samsung, keyboard, sony, dvd, remotes, tvs, buying, wireless, replace, batteries"
16,16_laptop_netbook_dell_m510,38,"laptop, netbook, dell, m510, mouse, wireless, very, computer, logitech, great"
17,17_useful_reviews_fitbit_nice,38,"useful, reviews, fitbit, nice, very, purchased, little, fun, smooth, ordered"
18,18_sony_quality_beautiful_excellent,37,"sony, quality, beautiful, excellent, panasonic, had, havent, lcd, great, have"
19,19_recommend_works_quality_excellent,37,"recommend, works, quality, excellent, nothing, pay, best, backup, great, product"
20,20_cable_cables_ethernet_connection,35,"cable, cables, ethernet, connection, comcast, connectors, port, router, network, 40gbps"
21,21_quality_recommend_price_awesome,32,"quality, recommend, price, awesome, is, overall, cool, box, great, nice"
